brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
Honda,City,2013,Manual,66253,CNG,30182,30.9,1.2,616465.35
Hyundai,i10,2024,Manual,101550,Petrol,21728,17.6,1.2,907012.93
Honda,Jazz,2022,Manual,34266,Petrol,24418,14.0,1.8,968878.16
Hyundai,i20,2010,Automatic,214111,Petrol,6730,10.9,1.6,120000.0
Maruti,Ciaz,2013,Manual,46187,Petrol,4506,17.3,1.2,146504.85
Honda,Civic,2022,Automatic,192313,Petrol,13205,10.1,2.0,929868.16
Toyota,RAV4,2021,Manual,9033,Diesel,24967,29.7,1.4,1163947.79
Honda,CR-V,2020,Automatic,87978,Petrol,25809,14.0,1.0,918703.58
Toyota,RAV4,2024,Manual,78767,Petrol,17445,11.9,1.0,1148319.65
Toyota,Corolla,2019,Manual,80515,Petrol,21264,15.4,1.2,698951.5
Ford,Fiesta,2013,Manual,187329,Petrol,9978,13.8,1.8,169875.05
Ford,Puma,2026,Manual,219398,Diesel,13924,31.3,1.8,850442.79
Ford,Puma,2009,Manual,62315,Diesel,7177,31.3,1.5,147454.97
Hyundai,Verna,2008,Automatic,155883,Petrol,10102,22.8,1.8,120000.0
Honda,Jazz,2008,Manual,121144,Petrol,34648,17.1,1.2,120000.0
Toyota,RAV4,2008,Manual,26556,Petrol,16505,19.1,2.0,574135.69
Hyundai,Creta,2025,Manual,206496,Diesel,13273,30.4,1.5,775033.12
Hyundai,Tucson,2015,Automatic,176098,Diesel,5749,27.9,1.4,376103.34
Hyundai,i20,2020,Automatic,99976,Diesel,31488,23.7,1.8,1020829.27
Ford,Fiesta,2024,Automatic,120038,Petrol,18999,19.5,1.4,1005256.59
Toyota,RAV4,2022,Automatic,163379,Petrol,27600,13.3,1.4,928640.07
Ford,Mondeo,2012,Automatic,45795,Petrol,26686,29.3,1.2,426947.59
Hyundai,Tucson,2022,Automatic,51206,Petrol,27015,10.3,1.5,931927.72
Honda,Jazz,2011,Manual,76707,Petrol,33567,17.5,1.4,302302.42
Toyota,Camry,2019,Automatic,23074,Petrol,633,29.2,1.0,892768.44
Hyundai,Creta,2011,Automatic,6041,Hybrid,5338,22.7,2.0,523396.14
Maruti,Swift,2018,Manual,216680,Petrol,6521,28.4,1.8,463790.53
Ford,Puma,2015,Automatic,163990,Petrol,28099,10.1,1.2,194728.61
Ford,Focus,2018,Automatic,106303,Petrol,15827,14.9,1.4,441717.5
Hyundai,Verna,2026,Manual,37247,Diesel,32019,18.0,1.6,1337361.45
Hyundai,i10,2024,Manual,33557,CNG,30122,21.8,1.8,1204988.25
Ford,Fiesta,2020,Manual,176152,Petrol,7179,14.2,1.8,573978.61
Honda,City,2008,Automatic,115841,Petrol,16838,20.9,1.5,142577.97
Honda,CR-V,2008,Manual,165960,Petrol,9476,24.2,1.2,120000.0
Hyundai,i10,2014,Automatic,49611,Petrol,23516,10.4,2.0,624437.12
Ford,Mondeo,2010,Automatic,158858,Diesel,8511,25.9,1.4,120000.0
Hyundai,Creta,2012,Manual,71953,Petrol,455,11.9,1.2,289232.6
Maruti,Dzire,2023,Manual,93291,Diesel,31871,23.7,1.2,773535.39
Honda,CR-V,2012,Manual,80443,Hybrid,10306,30.9,1.6,477533.24
Hyundai,i20,2017,Manual,104163,CNG,16967,21.3,1.0,525783.24
Ford,Fiesta,2018,Manual,198225,Petrol,9530,10.4,1.2,414336.24
Toyota,Prius,2017,Manual,122364,Petrol,17411,25.8,1.0,583852.81
Honda,City,2019,Automatic,126551,Petrol,14656,18.4,1.0,605341.15
Toyota,Yaris,2018,Manual,169845,Petrol,13625,16.4,1.6,862997.07
Honda,City,2022,Automatic,106942,Petrol,1091,15.8,1.2,843964.4
Honda,CR-V,2018,Automatic,34873,CNG,26981,12.3,1.0,813414.69
Ford,Mondeo,2018,Automatic,17629,Petrol,27979,25.3,1.2,684131.1
Toyota,RAV4,2026,Manual,211699,Hybrid,33258,19.8,1.0,1114934.89
Honda,Amaze,2024,Automatic,186973,Diesel,31617,24.2,1.0,733267.61
Honda,City,2016,Automatic,155520,Petrol,34977,22.2,2.0,474340.18
Maruti,Swift,2026,Automatic,207794,CNG,26077,11.2,1.2,686815.88
Honda,City,2017,Automatic,80868,Diesel,4219,11.7,1.5,655613.96
Hyundai,i20,2011,Automatic,138070,Petrol,21555,15.1,1.6,349487.41
Honda,City,2009,Manual,116837,Hybrid,2451,10.2,1.4,254508.44
Hyundai,i20,2017,Manual,115431,Petrol,8357,12.4,1.0,377254.04
Toyota,RAV4,2025,Manual,4914,Petrol,1578,12.4,1.8,1374343.47
Honda,City,2012,Automatic,92450,Petrol,33065,20.3,2.0,518828.84
Maruti,Baleno,2014,Automatic,207458,Petrol,8069,28.3,2.0,159147.54
Toyota,Camry,2013,Automatic,48374,Diesel,32471,31.9,1.0,638562.32
Maruti,Dzire,2017,Manual,219197,Petrol,28554,14.9,1.4,180708.47
Ford,Kuga,2021,Automatic,86666,Petrol,4533,29.6,1.4,654584.23
Ford,Focus,2019,Manual,205018,Petrol,3044,19.0,1.4,273828.87
Maruti,Baleno,2025,Manual,150633,Petrol,34701,11.4,1.6,696076.9
Maruti,Ciaz,2026,Automatic,149485,Petrol,30257,26.1,1.4,952076.1
Hyundai,i20,2023,Automatic,153746,Hybrid,3704,25.4,1.2,899982.8
Hyundai,Tucson,2018,Automatic,193516,Petrol,4510,17.4,1.2,385612.57
Hyundai,i10,2021,Automatic,43296,Petrol,21592,31.6,1.6,999613.2
Ford,Focus,2020,Automatic,167665,Petrol,15128,28.5,1.2,447515.2
Maruti,Ciaz,2011,Manual,208458,Hybrid,26984,25.6,1.0,120000.0
Ford,Focus,2025,Automatic,213184,CNG,22665,23.1,1.5,744652.32
Ford,Puma,2018,Automatic,60924,Petrol,33050,12.2,1.6,693166.77
Ford,Mondeo,2018,Manual,150029,Petrol,4596,29.1,1.8,552723.42
Maruti,Dzire,2013,Automatic,69317,Petrol,31293,15.1,1.2,268127.09
Maruti,Dzire,2024,Automatic,190294,Petrol,33886,14.1,1.4,700316.08
Honda,City,2014,Automatic,8123,Petrol,33862,14.1,1.5,756486.39
Ford,Fiesta,2019,Manual,50393,Diesel,2247,22.8,1.5,769950.52
Honda,Amaze,2024,Manual,86956,Petrol,34114,25.9,1.8,1048743.04
Honda,Amaze,2008,Automatic,159618,CNG,3672,15.3,1.4,310869.97
Hyundai,i20,2017,Automatic,16859,CNG,3075,17.7,1.0,672619.52
Ford,Mondeo,2014,Manual,151992,Diesel,28750,10.9,1.2,214084.6
Maruti,Dzire,2013,Automatic,135234,Diesel,24817,29.2,1.0,120000.0
Toyota,RAV4,2022,Automatic,196964,Petrol,20911,27.2,1.5,913291.72
Hyundai,i10,2021,Manual,55115,Petrol,16774,23.5,1.6,861623.56
Honda,CR-V,2020,Manual,145257,Hybrid,5658,10.5,1.4,692527.51
Ford,Puma,2010,Manual,49302,Petrol,1072,15.7,1.8,363116.45
Hyundai,i20,2012,Manual,217295,Petrol,30346,22.7,1.2,156422.49
Hyundai,i10,2022,Automatic,61625,Petrol,9934,17.9,1.4,899775.42
Honda,Amaze,2025,Automatic,29813,Diesel,31816,14.0,1.5,1310478.61
Maruti,Swift,2022,Automatic,146114,Diesel,5723,18.6,2.0,720760.7
Ford,Kuga,2009,Automatic,129862,Petrol,4580,31.3,1.5,120000.0
Honda,City,2017,Automatic,99426,Petrol,33200,15.6,1.4,673517.56
Hyundai,Creta,2018,Automatic,104944,Diesel,24688,19.8,1.0,586752.52
Honda,Amaze,2025,Automatic,51617,Petrol,1377,12.7,1.2,1286138.7
Maruti,Ciaz,2012,Manual,151717,Diesel,34532,31.2,1.5,120000.0
Honda,City,2019,Manual,30064,Petrol,24663,14.4,1.5,912068.76
Toyota,Prius,2008,Automatic,52368,Petrol,6200,25.2,2.0,542957.71
Ford,Focus,2015,Automatic,25771,Diesel,24133,24.9,1.0,678918.85
Honda,Amaze,2023,Automatic,145068,Petrol,21173,17.0,1.2,879771.92
Ford,Puma,2011,Automatic,203722,Diesel,28274,26.8,1.4,120000.0
Ford,Puma,2020,Automatic,120243,Petrol,11493,23.9,1.0,709004.85
Honda,CR-V,2008,Manual,50772,Petrol,20547,13.7,1.2,367162.55
Toyota,Yaris,2021,Manual,209373,Petrol,16771,10.6,1.2,660021.62
Toyota,Prius,2022,Manual,168509,Diesel,26140,25.7,1.8,862732.17
Honda,Amaze,2018,Manual,197668,Diesel,22914,18.4,1.0,425477.88
Honda,City,2021,Manual,63387,Petrol,32536,21.7,1.4,786047.38
Toyota,RAV4,2025,Manual,181275,CNG,6340,25.0,1.8,1152188.8
Ford,Focus,2017,Automatic,20061,Petrol,19257,11.0,1.8,642827.91
Toyota,Camry,2020,Automatic,194641,Hybrid,27781,24.2,1.0,827980.78
Toyota,Corolla,2012,Manual,187407,Diesel,23364,12.1,2.0,355339.63
Hyundai,i10,2008,Manual,52516,Petrol,30197,14.8,1.5,245683.8
Honda,City,2016,Manual,109791,Diesel,9608,23.1,1.2,664481.89
Toyota,Camry,2017,Manual,152643,Diesel,11938,28.0,2.0,641825.19
Maruti,Brezza,2015,Automatic,88860,Diesel,7932,17.8,1.0,379168.16
Hyundai,Tucson,2024,Automatic,16315,Diesel,9490,23.0,1.6,1070057.49
Toyota,Camry,2013,Manual,80484,Petrol,25572,20.2,1.4,658096.57
Hyundai,i10,2011,Automatic,166309,Diesel,18753,12.1,2.0,398155.65
Ford,Kuga,2015,Automatic,52386,CNG,34095,10.4,1.5,513094.96
Hyundai,Creta,2008,Automatic,137565,Petrol,27576,29.0,1.2,120000.0
Hyundai,i10,2021,Manual,75826,Petrol,3067,30.6,1.0,940429.26
Ford,Fiesta,2018,Automatic,207382,Petrol,18048,30.2,1.2,395329.91
Maruti,Brezza,2017,Manual,119201,Petrol,13321,29.3,1.6,378298.65
Honda,CR-V,2021,Manual,39001,Petrol,7826,31.1,1.2,984902.63
Toyota,Corolla,2008,Automatic,133769,Petrol,29026,17.0,1.8,374036.11
Honda,Civic,2013,Manual,15929,Petrol,17713,15.1,1.2,544095.8
Hyundai,i10,2013,Manual,132959,Petrol,5320,11.3,2.0,268416.65
Honda,City,2017,Manual,166181,Petrol,24326,31.6,2.0,565145.79
Ford,Kuga,2021,Manual,14641,Diesel,22161,15.0,1.5,831662.4
Maruti,Brezza,2011,Manual,29625,Petrol,14167,24.4,1.5,225907.27
Maruti,Ciaz,2012,Manual,106414,Petrol,27661,22.8,1.8,120000.0
Toyota,Prius,2008,Manual,138816,Hybrid,28053,31.1,1.6,258661.64
Hyundai,Verna,2011,Automatic,143724,Petrol,13156,18.7,1.4,185512.29
Toyota,Prius,2017,Automatic,173331,CNG,32999,27.8,1.0,625201.78
Toyota,Yaris,2015,Manual,145398,Diesel,15754,15.0,1.4,551105.44
Ford,Kuga,2020,Manual,113176,Diesel,1674,10.8,1.6,725658.27
Honda,Jazz,2024,Automatic,78362,Diesel,34705,31.4,1.8,1303446.1
Honda,Jazz,2026,Manual,145606,Petrol,733,11.8,1.2,1058551.0
Toyota,Yaris,2010,Manual,170644,Diesel,33593,20.5,1.0,310845.1
Toyota,Yaris,2011,Manual,132812,CNG,32210,21.5,1.6,327311.79
Toyota,Corolla,2015,Automatic,83342,Petrol,15379,23.5,1.8,871769.01
Hyundai,Creta,2019,Manual,142432,Hybrid,23500,17.0,1.4,629124.37
Toyota,Prius,2020,Manual,164854,CNG,27175,24.4,1.8,946715.53
Honda,Jazz,2020,Manual,159989,Petrol,33779,20.7,1.4,645841.89
Honda,Amaze,2008,Manual,124739,Petrol,3281,22.7,1.6,120000.0
Ford,Mondeo,2022,Manual,178773,Diesel,25426,31.8,1.5,609396.51
Toyota,Yaris,2018,Manual,179510,Diesel,6580,17.8,1.4,612335.16
Maruti,Swift,2011,Manual,8733,Diesel,386,26.5,1.0,208925.55
Honda,Jazz,2012,Manual,141896,Petrol,31016,23.0,1.2,341582.95
Maruti,Ciaz,2015,Manual,37547,Petrol,27796,12.0,1.5,347748.17
Honda,Amaze,2023,Manual,12564,Diesel,20977,23.2,1.2,1308622.74
Hyundai,Creta,2026,Manual,13822,Petrol,26107,31.6,1.6,1262914.94
Honda,Amaze,2011,Manual,52652,Diesel,7721,23.2,2.0,445788.01
Honda,Jazz,2020,Manual,109660,Diesel,4141,19.0,2.0,849113.39
Ford,Focus,2023,Manual,215542,Diesel,916,10.5,1.4,697011.78
Maruti,Swift,2020,Automatic,187747,Petrol,30545,28.5,1.2,464279.41
Toyota,Prius,2011,Manual,160418,Petrol,31828,27.2,1.2,254304.52
Hyundai,i20,2021,Automatic,165551,Petrol,33481,11.5,1.0,617994.33
Hyundai,Verna,2021,Manual,167308,Petrol,29567,15.9,1.2,571514.96
Ford,Mondeo,2011,Manual,199509,Petrol,12107,16.9,1.0,120000.0
Toyota,Camry,2022,Automatic,182303,Petrol,25578,31.6,1.8,1055840.65
Toyota,Prius,2010,Automatic,75079,Petrol,34020,23.4,1.4,434100.02
Toyota,Prius,2011,Manual,150742,Petrol,18318,12.5,1.0,255290.56
Toyota,RAV4,2018,Manual,120034,Diesel,7915,28.6,1.8,769357.7
Ford,Focus,2017,Manual,143563,Petrol,10170,27.3,1.8,450990.81
Hyundai,Verna,2017,Automatic,109899,Hybrid,30524,22.0,2.0,858771.24
Maruti,Brezza,2021,Manual,216712,Petrol,19529,22.2,1.2,423724.16
Honda,CR-V,2008,Manual,82453,Hybrid,28773,18.4,2.0,381778.94
Hyundai,Creta,2016,Manual,175743,Diesel,6854,29.7,2.0,314217.58
Toyota,Yaris,2013,Automatic,188722,Petrol,31401,13.7,1.4,696230.51
Maruti,Brezza,2023,Manual,135750,Petrol,29990,12.6,1.8,731102.62
Honda,Civic,2020,Automatic,139993,Diesel,34897,31.6,1.5,730439.77
Maruti,Swift,2010,Manual,195966,Diesel,13265,31.4,1.8,120000.0
Hyundai,Tucson,2016,Automatic,156543,Petrol,34582,29.8,1.5,338708.31
Toyota,Camry,2019,Manual,156931,Petrol,3522,15.3,1.2,846010.27
Hyundai,i10,2016,Automatic,135417,Petrol,21732,17.8,2.0,576977.31
Honda,Jazz,2008,Manual,72197,Diesel,23858,13.7,1.5,310307.31
Hyundai,Creta,2008,Automatic,141791,Petrol,30323,14.7,1.5,120000.0
Ford,Mondeo,2021,Automatic,51975,CNG,27595,24.6,1.0,764135.85
Toyota,Camry,2008,Automatic,38028,Petrol,15646,20.1,1.2,440224.16
Honda,Jazz,2021,Manual,93296,Petrol,32132,16.2,1.8,1030120.98
Ford,Puma,2021,Automatic,177274,Diesel,34362,23.7,1.5,829663.93
Ford,Kuga,2026,Automatic,155107,Petrol,2391,15.8,1.6,1063615.5
Ford,Fiesta,2021,Automatic,66682,Petrol,20958,11.4,1.8,791143.03
Maruti,Swift,2023,Manual,219000,Diesel,20067,24.5,1.2,342215.62
Hyundai,Tucson,2010,Manual,116027,Diesel,23422,28.2,1.0,120000.0
Maruti,Brezza,2019,Manual,75638,Petrol,15518,23.4,1.5,638945.75
Honda,CR-V,2026,Manual,23825,Petrol,27536,31.4,1.8,1250475.11
Honda,Civic,2008,Manual,196234,Petrol,12664,20.4,1.2,120000.0
Toyota,Camry,2015,Manual,99651,Petrol,16871,14.3,1.6,568203.37
Ford,Mondeo,2013,Automatic,183496,Petrol,3780,17.5,1.5,263112.24
Maruti,Ciaz,2024,Manual,10720,Petrol,13895,11.9,1.0,770944.17
Honda,Jazz,2014,Manual,148917,Petrol,34748,12.9,1.8,470128.93
Maruti,Swift,2015,Manual,199766,Petrol,9036,24.8,1.6,218096.74
Hyundai,i10,2012,Manual,12198,Diesel,29035,10.9,1.6,357937.63
Hyundai,i10,2025,Manual,100915,Petrol,3229,23.1,1.2,1012130.29
Hyundai,i10,2026,Manual,147417,CNG,22625,29.5,1.0,874902.17
Maruti,Baleno,2021,Automatic,135153,CNG,6014,24.0,1.5,640616.69
Honda,City,2024,Automatic,99298,Petrol,20201,11.0,2.0,1343061.13
Maruti,Swift,2013,Automatic,95154,Diesel,2716,21.9,1.4,259335.41
Hyundai,i10,2010,Manual,167297,Diesel,11160,22.8,2.0,223472.86
Toyota,Camry,2011,Manual,113058,Petrol,15068,13.1,1.5,413772.51
Hyundai,Verna,2017,Automatic,75592,Diesel,27710,23.1,2.0,819103.85
Ford,Mondeo,2015,Manual,217379,Petrol,3684,13.7,1.0,120000.0
Maruti,Brezza,2021,Manual,36045,Petrol,10962,13.2,1.2,713755.84
Maruti,Baleno,2012,Automatic,83081,Petrol,31094,23.3,1.4,120000.0
Hyundai,Tucson,2012,Manual,37865,Petrol,29177,19.7,1.6,266078.07
Toyota,Yaris,2020,Manual,75996,Petrol,8226,28.3,1.5,891461.74
Maruti,Dzire,2020,Automatic,88989,Petrol,25710,16.6,1.0,574783.71
Ford,Focus,2026,Manual,9641,Petrol,24880,30.0,1.0,1085862.79
Toyota,Camry,2020,Manual,164343,Petrol,4368,27.5,2.0,842422.05
Hyundai,i20,2021,Manual,208855,CNG,34334,20.6,1.2,538035.6
Toyota,RAV4,2013,Manual,97627,Diesel,17894,20.8,1.4,655402.1
Toyota,Corolla,2026,Automatic,98116,Petrol,26758,22.6,2.0,1558313.74
Honda,Jazz,2012,Manual,203877,Diesel,16689,25.1,1.2,120000.0
Honda,Jazz,2017,Manual,79558,Petrol,11669,26.1,1.2,758019.62
Honda,Jazz,2025,Automatic,65521,Hybrid,1545,17.5,2.0,1419746.7
Maruti,Swift,2022,Manual,169394,Diesel,26814,28.6,1.0,386055.89
Ford,Focus,2021,Manual,6365,Diesel,12208,12.4,1.4,884606.54
Hyundai,Tucson,2020,Automatic,23106,Petrol,10484,11.7,1.8,1103361.11
Hyundai,i10,2009,Automatic,47233,Diesel,9835,27.7,1.2,216258.17
Honda,Amaze,2014,Manual,141264,Petrol,1178,14.7,1.6,557036.27
Ford,Focus,2017,Automatic,140522,Diesel,8467,25.7,1.2,394988.43
Hyundai,Tucson,2022,Manual,32289,Petrol,25222,18.8,2.0,1081939.38
Ford,Kuga,2024,Manual,112937,Petrol,25026,23.1,1.2,875814.98
Ford,Focus,2015,Manual,163257,Petrol,32581,28.2,1.6,305778.47
Toyota,RAV4,2011,Automatic,96006,CNG,13205,30.6,1.0,357422.34
Honda,Amaze,2024,Automatic,85895,Petrol,29548,24.9,1.4,1070087.77
Honda,Amaze,2012,Automatic,209219,Diesel,33039,15.9,2.0,278633.05
Hyundai,Verna,2026,Automatic,79851,Petrol,17514,19.5,2.0,1106534.81
Honda,CR-V,2016,Manual,92214,Diesel,14552,25.8,1.6,603164.07
Ford,Fiesta,2013,Manual,48247,Hybrid,26390,10.8,1.6,546715.16
Hyundai,i10,2010,Manual,87533,Diesel,6972,29.6,1.8,221643.12
Hyundai,Verna,2010,Automatic,172261,Hybrid,9365,28.4,1.6,197356.21
Ford,Puma,2022,Manual,59401,CNG,16243,31.2,1.6,771586.76
Hyundai,i10,2013,Automatic,59528,Petrol,18245,31.5,1.0,438407.11
Toyota,Prius,2013,Manual,75855,Petrol,18128,17.7,2.0,761724.27
Hyundai,Verna,2011,Manual,148952,Hybrid,29041,23.3,1.4,124794.76
Honda,CR-V,2015,Manual,55006,Petrol,16569,11.3,1.5,556027.71
Hyundai,i10,2011,Automatic,172956,CNG,19056,31.2,1.5,135163.72
Honda,City,2019,Automatic,186535,CNG,20240,13.2,1.4,592735.5
Maruti,Brezza,2022,Manual,178359,Diesel,32112,16.4,2.0,707813.91
Ford,Focus,2024,Automatic,51424,Petrol,14547,16.6,1.8,1084601.21
Toyota,Prius,2021,Manual,177725,Petrol,19140,14.0,1.2,1027100.27
Maruti,Brezza,2020,Manual,215881,Hybrid,18453,18.6,1.6,329305.5
Hyundai,i20,2023,Automatic,90061,Petrol,34340,22.5,1.4,906750.32
Honda,City,2013,Manual,199829,Hybrid,24440,18.7,1.2,145745.13
Toyota,Yaris,2015,Manual,158314,Petrol,8121,20.1,2.0,720643.3
Hyundai,i20,2012,Manual,203836,Petrol,28166,11.0,1.2,120000.0
Toyota,RAV4,2015,Automatic,21892,Diesel,8603,18.9,1.6,1228223.4
Ford,Puma,2010,Manual,61344,Petrol,27564,15.5,1.0,120000.0
Hyundai,Tucson,2025,Automatic,42958,Petrol,34103,10.6,1.6,1219520.4
Maruti,Baleno,2008,Manual,62862,Hybrid,15098,25.8,1.6,144025.6
Honda,Amaze,2010,Manual,32495,Hybrid,31293,30.8,2.0,554488.16
Hyundai,i10,2022,Manual,56912,Petrol,20783,10.7,1.4,962506.91
Ford,Puma,2011,Manual,101740,Hybrid,28380,28.4,2.0,463088.4
Toyota,RAV4,2010,Manual,10943,Petrol,14882,10.8,1.5,473907.77
Maruti,Swift,2013,Manual,50521,CNG,353,19.6,1.8,264620.62
Honda,CR-V,2022,Manual,134509,Diesel,11385,25.7,1.8,824965.63
Honda,Jazz,2021,Manual,219900,Petrol,34470,26.6,1.5,780555.87
Ford,Puma,2017,Automatic,171958,Petrol,9409,23.8,1.0,190666.37
Ford,Fiesta,2011,Automatic,29457,Diesel,3588,21.3,1.6,172150.86
Ford,Focus,2015,Manual,176970,Petrol,24310,26.0,2.0,350588.82
Ford,Fiesta,2009,Automatic,76629,Petrol,23280,13.5,1.8,249120.96
Maruti,Swift,2024,Manual,173179,Petrol,13452,10.6,1.5,607888.66
Hyundai,Verna,2015,Automatic,185677,Diesel,8224,25.5,2.0,458170.07
Ford,Puma,2008,Manual,26949,Petrol,19344,18.7,1.8,304259.8
Honda,Jazz,2017,Automatic,137881,Diesel,30499,24.8,1.2,534368.95
Honda,City,2023,Automatic,55204,Diesel,6542,10.4,1.5,1195121.33
Maruti,Dzire,2012,Manual,74156,Diesel,30729,23.3,1.0,120000.0
Toyota,Corolla,2026,Automatic,45982,Petrol,33055,24.1,2.0,1432207.14
Honda,Amaze,2025,Automatic,3514,CNG,18154,13.9,1.8,1518898.62
Toyota,RAV4,2016,Manual,17215,Petrol,7186,20.6,1.4,815810.53
Toyota,RAV4,2017,Automatic,131383,Petrol,2645,30.9,1.4,741309.39
Hyundai,Verna,2010,Automatic,4309,Petrol,13064,22.4,1.4,359794.84
Ford,Fiesta,2023,Automatic,55645,Petrol,30313,30.8,1.2,901497.07
Hyundai,i10,2020,Manual,128660,Petrol,18969,30.7,1.0,593323.41
Toyota,RAV4,2016,Automatic,148268,Petrol,3566,10.2,1.8,699322.4
Honda,Amaze,2022,Manual,159435,Petrol,34869,15.0,1.2,746333.49
Honda,Civic,2016,Manual,21014,Diesel,28642,11.1,1.0,554594.42
Toyota,Corolla,2018,Automatic,73934,Petrol,28178,28.1,1.2,743948.94
Honda,Amaze,2021,Manual,56485,Petrol,18250,11.5,1.4,986826.61
Honda,Civic,2014,Manual,197080,Petrol,1225,27.3,1.0,196417.76
